Variable Type,Category Name,Activity,Variable Value,Unit,Year,Assoc. Gas,Uncertainty (Max),Uncertainty (Min),NK,Uncertainty Type,Region,Notes
EF,Solid waste disposal on land,Waste,0,Gg,2000,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""IPCC_Waste_Model - 00-12-rev3"" for emissions calculation"
EF,Solid waste disposal on land,Waste,0,Gg,2001,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""IPCC_Waste_Model - 00-12-rev3"" for emissions calculation"
EF,Solid waste disposal on land,Waste,0,Gg,2002,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""IPCC_Waste_Model - 00-12-rev3"" for emissions calculation"
EF,Solid waste disposal on land,Waste,0,Gg,2003,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""IPCC_Waste_Model - 00-12-rev3"" for emissions calculation"
EF,Solid waste disposal on land,Waste,0,Gg,2004,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""IPCC_Waste_Model - 00-12-rev3"" for emissions calculation"
EF,Solid waste disposal on land,Waste,0,Gg,2005,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""IPCC_Waste_Model - 00-12-rev3"" for emissions calculation"
EF,Solid waste disposal on land,Waste,0,Gg,2006,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""IPCC_Waste_Model - 00-12-rev3"" for emissions calculation"
EF,Solid waste disposal on land,Waste,0,Gg,2007,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""IPCC_Waste_Model - 00-12-rev3"" for emissions calculation"
EF,Solid waste disposal on land,Waste,0,Gg,2008,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""IPCC_Waste_Model - 00-12-rev3"" for emissions calculation"
EF,Solid waste disposal on land,Waste,0,Gg,2009,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""IPCC_Waste_Model - 00-12-rev3"" for emissions calculation"
EF,Solid waste disposal on land,Waste,0,Gg,2010,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""IPCC_Waste_Model - 00-12-rev3"" for emissions calculation"
EF,Solid waste disposal on land,Waste,0,Gg,2011,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""IPCC_Waste_Model - 00-12-rev3"" for emissions calculation"
EF,Solid waste disposal on land,Waste,0,Gg,2012,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""IPCC_Waste_Model - 00-12-rev3"" for emissions calculation"
EF,Solid waste disposal on land,Waste,0,Gg,2013,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""IPCC_Waste_Model - 00-12-rev3"" for emissions calculation"
EF,Biological treatment of waste (composting and AD),Waste,0,Gg,2000,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""IPCC_Waste_Model - 00-12-rev3"" for emissions calculation"
EF,Biological treatment of waste (composting and AD),Waste,0,Gg,2001,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""IPCC_Waste_Model - 00-12-rev3"" for emissions calculation"
EF,Biological treatment of waste (composting and AD),Waste,0,Gg,2002,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""IPCC_Waste_Model - 00-12-rev3"" for emissions calculation"
EF,Biological treatment of waste (composting and AD),Waste,0,Gg,2003,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""IPCC_Waste_Model - 00-12-rev3"" for emissions calculation"
EF,Biological treatment of waste (composting and AD),Waste,0,Gg,2004,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""IPCC_Waste_Model - 00-12-rev3"" for emissions calculation"
EF,Biological treatment of waste (composting and AD),Waste,0,Gg,2005,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""IPCC_Waste_Model - 00-12-rev3"" for emissions calculation"
EF,Biological treatment of waste (composting and AD),Waste,0,Gg,2006,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""IPCC_Waste_Model - 00-12-rev3"" for emissions calculation"
EF,Biological treatment of waste (composting and AD),Waste,0,Gg,2007,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""IPCC_Waste_Model - 00-12-rev3"" for emissions calculation"
EF,Biological treatment of waste (composting and AD),Waste,0,Gg,2008,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""IPCC_Waste_Model - 00-12-rev3"" for emissions calculation"
EF,Biological treatment of waste (composting and AD),Waste,0,Gg,2009,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""IPCC_Waste_Model - 00-12-rev3"" for emissions calculation"
EF,Biological treatment of waste (composting and AD),Waste,0,Gg,2010,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""IPCC_Waste_Model - 00-12-rev3"" for emissions calculation"
EF,Biological treatment of waste (composting and AD),Waste,0,Gg,2011,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""IPCC_Waste_Model - 00-12-rev3"" for emissions calculation"
EF,Biological treatment of waste (composting and AD),Waste,0,Gg,2012,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""IPCC_Waste_Model - 00-12-rev3"" for emissions calculation"
EF,Biological treatment of waste (composting and AD),Waste,0,Gg,2013,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""IPCC_Waste_Model - 00-12-rev3"" for emissions calculation"
EF,Waste incineration,Waste,0,Gg,2000,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste incineration model ""Waste_Burning_and_Incineration-00-12_v3_ES"" Medical waste + industrial waste for emissions calculation"
EF,Waste incineration,Waste,0,Gg,2001,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste incineration model ""Waste_Burning_and_Incineration-00-12_v3_ES"" Medical waste + industrial waste for emissions calculation"
EF,Waste incineration,Waste,0,Gg,2002,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste incineration model ""Waste_Burning_and_Incineration-00-12_v3_ES"" Medical waste + industrial waste for emissions calculation"
EF,Waste incineration,Waste,0,Gg,2003,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste incineration model ""Waste_Burning_and_Incineration-00-12_v3_ES"" Medical waste + industrial waste for emissions calculation"
EF,Waste incineration,Waste,0,Gg,2004,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste incineration model ""Waste_Burning_and_Incineration-00-12_v3_ES"" Medical waste + industrial waste for emissions calculation"
EF,Waste incineration,Waste,0,Gg,2005,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste incineration model ""Waste_Burning_and_Incineration-00-12_v3_ES"" Medical waste + industrial waste for emissions calculation"
EF,Waste incineration,Waste,1.356451653,Gg,2006,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste incineration model ""Waste_Burning_and_Incineration-00-12_v3_ES"" Medical waste + industrial waste for emissions calculation"
EF,Waste incineration,Waste,1.38911171,Gg,2007,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste incineration model ""Waste_Burning_and_Incineration-00-12_v3_ES"" Medical waste + industrial waste for emissions calculation"
EF,Waste incineration,Waste,1.383207889,Gg,2008,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste incineration model ""Waste_Burning_and_Incineration-00-12_v3_ES"" Medical waste + industrial waste for emissions calculation"
EF,Waste incineration,Waste,1.380027759,Gg,2009,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste incineration model ""Waste_Burning_and_Incineration-00-12_v3_ES"" Medical waste + industrial waste for emissions calculation"
EF,Waste incineration,Waste,1.378613828,Gg,2010,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste incineration model ""Waste_Burning_and_Incineration-00-12_v3_ES"" Medical waste + industrial waste for emissions calculation"
EF,Waste incineration,Waste,1.385373603,Gg,2011,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste incineration model ""Waste_Burning_and_Incineration-00-12_v3_ES"" Medical waste + industrial waste for emissions calculation"
EF,Waste incineration,Waste,1.406761268,Gg,2012,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste incineration model ""Waste_Burning_and_Incineration-00-12_v3_ES"" Medical waste + industrial waste for emissions calculation"
EF,Waste incineration,Waste,#DIV/0!,Gg,2013,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste incineration model ""Waste_Burning_and_Incineration-00-12_v3_ES"" Medical waste + industrial waste for emissions calculation"
EF,Open burning of waste (backyards),Waste,0,Gg,2000,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste incineration model ""Waste_Burning_and_Incineration-00-12_v3_ES"" for emissions calculation"
EF,Open burning of waste (backyards),Waste,0,Gg,2001,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste incineration model ""Waste_Burning_and_Incineration-00-12_v3_ES"" for emissions calculation"
EF,Open burning of waste (backyards),Waste,0,Gg,2002,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste incineration model ""Waste_Burning_and_Incineration-00-12_v3_ES"" for emissions calculation"
EF,Open burning of waste (backyards),Waste,0,Gg,2003,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste incineration model ""Waste_Burning_and_Incineration-00-12_v3_ES"" for emissions calculation"
EF,Open burning of waste (backyards),Waste,0,Gg,2004,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste incineration model ""Waste_Burning_and_Incineration-00-12_v3_ES"" for emissions calculation"
EF,Open burning of waste (backyards),Waste,0,Gg,2005,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste incineration model ""Waste_Burning_and_Incineration-00-12_v3_ES"" for emissions calculation"
EF,Open burning of waste (backyards),Waste,0.358619649,Gg,2006,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste incineration model ""Waste_Burning_and_Incineration-00-12_v3_ES"" for emissions calculation"
EF,Open burning of waste (backyards),Waste,0.357235021,Gg,2007,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste incineration model ""Waste_Burning_and_Incineration-00-12_v3_ES"" for emissions calculation"
EF,Open burning of waste (backyards),Waste,0.355850393,Gg,2008,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste incineration model ""Waste_Burning_and_Incineration-00-12_v3_ES"" for emissions calculation"
EF,Open burning of waste (backyards),Waste,0.354465764,Gg,2009,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste incineration model ""Waste_Burning_and_Incineration-00-12_v3_ES"" for emissions calculation"
EF,Open burning of waste (backyards),Waste,0.353081136,Gg,2010,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste incineration model ""Waste_Burning_and_Incineration-00-12_v3_ES"" for emissions calculation"
EF,Open burning of waste (backyards),Waste,0.351696508,Gg,2011,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste incineration model ""Waste_Burning_and_Incineration-00-12_v3_ES"" for emissions calculation"
EF,Open burning of waste (backyards),Waste,0.35031188,Gg,2012,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste incineration model ""Waste_Burning_and_Incineration-00-12_v3_ES"" for emissions calculation"
EF,Open burning of waste (backyards),Waste,#DIV/0!,Gg,2013,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste incineration model ""Waste_Burning_and_Incineration-00-12_v3_ES"" for emissions calculation"
EF,Open burning of waste (landfills),Waste,0,Gg,2000,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste incineration model ""Waste_Burning_and_Incineration-00-12_v3_ES"" for emissions calculation"
EF,Open burning of waste (landfills),Waste,0,Gg,2001,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste incineration model ""Waste_Burning_and_Incineration-00-12_v3_ES"" for emissions calculation"
EF,Open burning of waste (landfills),Waste,0,Gg,2002,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste incineration model ""Waste_Burning_and_Incineration-00-12_v3_ES"" for emissions calculation"
EF,Open burning of waste (landfills),Waste,0,Gg,2003,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste incineration model ""Waste_Burning_and_Incineration-00-12_v3_ES"" for emissions calculation"
EF,Open burning of waste (landfills),Waste,0,Gg,2004,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste incineration model ""Waste_Burning_and_Incineration-00-12_v3_ES"" for emissions calculation"
EF,Open burning of waste (landfills),Waste,0,Gg,2005,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste incineration model ""Waste_Burning_and_Incineration-00-12_v3_ES"" for emissions calculation"
EF,Open burning of waste (landfills),Waste,0.358619649,Gg,2006,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste incineration model ""Waste_Burning_and_Incineration-00-12_v3_ES"" for emissions calculation"
EF,Open burning of waste (landfills),Waste,0.357235021,Gg,2007,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste incineration model ""Waste_Burning_and_Incineration-00-12_v3_ES"" for emissions calculation"
EF,Open burning of waste (landfills),Waste,0.355850393,Gg,2008,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste incineration model ""Waste_Burning_and_Incineration-00-12_v3_ES"" for emissions calculation"
EF,Open burning of waste (landfills),Waste,0.354465764,Gg,2009,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste incineration model ""Waste_Burning_and_Incineration-00-12_v3_ES"" for emissions calculation"
EF,Open burning of waste (landfills),Waste,0.353081136,Gg,2010,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste incineration model ""Waste_Burning_and_Incineration-00-12_v3_ES"" for emissions calculation"
EF,Open burning of waste (landfills),Waste,0.351696508,Gg,2011,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste incineration model ""Waste_Burning_and_Incineration-00-12_v3_ES"" for emissions calculation"
EF,Open burning of waste (landfills),Waste,0.35031188,Gg,2012,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste incineration model ""Waste_Burning_and_Incineration-00-12_v3_ES"" for emissions calculation"
EF,Open burning of waste (landfills),Waste,#DIV/0!,Gg,2013,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste incineration model ""Waste_Burning_and_Incineration-00-12_v3_ES"" for emissions calculation"
EF,Domestic wastewater handling,Waste,0,Gg,2000,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""Industrial_wastewater_00-12_v2_ES"" for emissions calculation"
EF,Domestic wastewater handling,Waste,0,Gg,2001,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""Industrial_wastewater_00-12_v2_ES"" for emissions calculation"
EF,Domestic wastewater handling,Waste,0,Gg,2002,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""Industrial_wastewater_00-12_v2_ES"" for emissions calculation"
EF,Domestic wastewater handling,Waste,0,Gg,2003,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""Industrial_wastewater_00-12_v2_ES"" for emissions calculation"
EF,Domestic wastewater handling,Waste,0,Gg,2004,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""Industrial_wastewater_00-12_v2_ES"" for emissions calculation"
EF,Domestic wastewater handling,Waste,0,Gg,2005,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""Industrial_wastewater_00-12_v2_ES"" for emissions calculation"
EF,Domestic wastewater handling,Waste,0,Gg,2006,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""Industrial_wastewater_00-12_v2_ES"" for emissions calculation"
EF,Domestic wastewater handling,Waste,0,Gg,2007,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""Industrial_wastewater_00-12_v2_ES"" for emissions calculation"
EF,Domestic wastewater handling,Waste,0,Gg,2008,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""Industrial_wastewater_00-12_v2_ES"" for emissions calculation"
EF,Domestic wastewater handling,Waste,0,Gg,2009,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""Industrial_wastewater_00-12_v2_ES"" for emissions calculation"
EF,Domestic wastewater handling,Waste,0,Gg,2010,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""Industrial_wastewater_00-12_v2_ES"" for emissions calculation"
EF,Domestic wastewater handling,Waste,0,Gg,2011,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""Industrial_wastewater_00-12_v2_ES"" for emissions calculation"
EF,Domestic wastewater handling,Waste,0,Gg,2012,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""Industrial_wastewater_00-12_v2_ES"" for emissions calculation"
EF,Domestic wastewater handling,Waste,0,Gg,2013,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""Industrial_wastewater_00-12_v2_ES"" for emissions calculation"
EF,Industrial wastewater handling,Waste,0,Gg,2000,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""Domestic_wastewater_00-12_v2_ES"" for emissions calculation"
EF,Industrial wastewater handling,Waste,0,Gg,2001,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""Domestic_wastewater_00-12_v2_ES"" for emissions calculation"
EF,Industrial wastewater handling,Waste,0,Gg,2002,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""Domestic_wastewater_00-12_v2_ES"" for emissions calculation"
EF,Industrial wastewater handling,Waste,0,Gg,2003,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""Domestic_wastewater_00-12_v2_ES"" for emissions calculation"
EF,Industrial wastewater handling,Waste,0,Gg,2004,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""Domestic_wastewater_00-12_v2_ES"" for emissions calculation"
EF,Industrial wastewater handling,Waste,0,Gg,2005,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""Domestic_wastewater_00-12_v2_ES"" for emissions calculation"
EF,Industrial wastewater handling,Waste,0,Gg,2006,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""Domestic_wastewater_00-12_v2_ES"" for emissions calculation"
EF,Industrial wastewater handling,Waste,0,Gg,2007,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""Domestic_wastewater_00-12_v2_ES"" for emissions calculation"
EF,Industrial wastewater handling,Waste,0,Gg,2008,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""Domestic_wastewater_00-12_v2_ES"" for emissions calculation"
EF,Industrial wastewater handling,Waste,0,Gg,2009,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""Domestic_wastewater_00-12_v2_ES"" for emissions calculation"
EF,Industrial wastewater handling,Waste,0,Gg,2010,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""Domestic_wastewater_00-12_v2_ES"" for emissions calculation"
EF,Industrial wastewater handling,Waste,0,Gg,2011,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""Domestic_wastewater_00-12_v2_ES"" for emissions calculation"
EF,Industrial wastewater handling,Waste,0,Gg,2012,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""Domestic_wastewater_00-12_v2_ES"" for emissions calculation"
EF,Industrial wastewater handling,Waste,#DIV/0!,Gg,2013,CO2,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""Domestic_wastewater_00-12_v2_ES"" for emissions calculation"
EF,Solid waste disposal on land,Waste,0,Gg,2000,CH4,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""IPCC_Waste_Model - 00-12-rev3"" for emissions calculation"
EF,Solid waste disposal on land,Waste,0,Gg,2001,CH4,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""IPCC_Waste_Model - 00-12-rev3"" for emissions calculation"
EF,Solid waste disposal on land,Waste,0,Gg,2002,CH4,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""IPCC_Waste_Model - 00-12-rev3"" for emissions calculation"
EF,Solid waste disposal on land,Waste,0,Gg,2003,CH4,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""IPCC_Waste_Model - 00-12-rev3"" for emissions calculation"
EF,Solid waste disposal on land,Waste,0,Gg,2004,CH4,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""IPCC_Waste_Model - 00-12-rev3"" for emissions calculation"
EF,Solid waste disposal on land,Waste,0,Gg,2005,CH4,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""IPCC_Waste_Model - 00-12-rev3"" for emissions calculation"
EF,Solid waste disposal on land,Waste,157.5741746,Gg,2006,CH4,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""IPCC_Waste_Model - 00-12-rev3"" for emissions calculation"
EF,Solid waste disposal on land,Waste,19.63832182,Gg,2007,CH4,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""IPCC_Waste_Model - 00-12-rev3"" for emissions calculation"
EF,Solid waste disposal on land,Waste,20.1061483,Gg,2008,CH4,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""IPCC_Waste_Model - 00-12-rev3"" for emissions calculation"
EF,Solid waste disposal on land,Waste,21.7050577,Gg,2009,CH4,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""IPCC_Waste_Model - 00-12-rev3"" for emissions calculation"
EF,Solid waste disposal on land,Waste,22.30367207,Gg,2010,CH4,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""IPCC_Waste_Model - 00-12-rev3"" for emissions calculation"
EF,Solid waste disposal on land,Waste,22.28875392,Gg,2011,CH4,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""IPCC_Waste_Model - 00-12-rev3"" for emissions calculation"
EF,Solid waste disposal on land,Waste,22.05288897,Gg,2012,CH4,,,,,,"Assumed 1 (Emission = EF).  See Waste model ""IPCC_Waste_Model - 00-12-rev3"" for emissions calculation"
